시군구,종량제,인구수,제조업종사자수,아파트,연립주택,다세대주택,소득수준,1인가구비율,15_64세인구율,외국인수,외국인비율,음식점업종사자수,20ℓ가격,일제대청소참여율,청결유지책임제이행실적,경제활동참가율,재정자주도,공무원단속건수,주민신고건수,인센티브제 도입 여부
대구광역시 달성군,44931.5,263162,45883,0.756720737,0.005759272,0.017058868,35755,0.282061534,0.699933881,10079,0.037873465,4913,560,0.001044984,7,0.645,0.5469,541,168,0
대구광역시 동구,57030.7,339530,6397,0.579676096,0.01372395,0.082275996,34580,0.345339815,0.678246399,3708,0.011136674,7239,560,0.006479545,8,0.566,0.2999,1127,267,0
대구광역시 북구,74011.6,430912,25310,0.631100875,0.008507593,0.031786433,34498,0.343704597,0.723658195,8460,0.019257779,9038,560,0.004091323,9,0.581,0.3138,2908,391,0
대구광역시 서구,34262.5,159827,15501,0.248073665,0.009740969,0.138013006,30984,0.379242035,0.677069581,4018,0.024994712,2662,560,0.016298873,0,0.537,0.3497,1130,85,0
대구광역시 수성구,67371.8,411553,1926,0.647389991,0.007351275,0.039274184,42660,0.278454027,0.7017225,2983,0.007411954,11397,560,0.007226287,2,0.54,0.3654,792,482,0
대구광역시 중구,22396.8,80199,2031,0.505376921,0.008206173,0.02571804,36943,0.43801121,0.694609658,978,0.012617401,6831,560,0.001296774,5,0.6,0.4498,3179,1193,0
대전광역시 대덕구,30179.7,172746,25936,0.533993036,0.017618262,0.102411058,34172,0.357365376,0.720937098,4433,0.025375655,3641,660,0.003473308,0,0.611,0.3505,78,94,0
대전광역시 동구,36315.3,219751,4701,0.484061449,0.020772022,0.064058973,31707,0.423431146,0.689621435,7862,0.033986962,4527,660,0.00202957,7,0.546,0.3136,417,84,0
대전광역시 서구,77064.6,470374,2403,0.579444513,0.011287199,0.031070805,37460,0.383540536,0.733788432,6923,0.014597848,12835,660,0.005433974,2,0.622,0.3109,2837,382,0
대전광역시 유성구,57837.3,356093,22997,0.641009903,0.008771762,0.014365997,42146,0.390177161,0.746529699,10506,0.02844988,13235,660,0.001965779,0,0.65,0.363,459,3115,0
부산광역시 강서구,23876.1,143207,68775,0.641101747,0.0054416,0.010847865,40296,0.296867547,0.67548374,6687,0.046523439,4715,510,0.017806392,71,0.678,0.4991,554,111,0
부산광역시 금정구,27413.4,221256,7476,0.454985565,0.026769056,0.146503133,34668,0.389172575,0.679656145,5885,0.025869951,5251,850,0.002621398,15,0.536,0.3333,465,95,0
부산광역시 기장군,26490.4,178614,16995,0.704145993,0.016539119,0.044333249,36349,0.298993637,0.67147592,3386,0.0194039,6703,590,0.005206759,14,0.598,0.5434,364,134,0
부산광역시 남구,29382.2,256333,4292,0.548241554,0.023341093,0.153905611,36021,0.346943728,0.676065899,8069,0.03126768,5909,680,0.004860865,6,0.545,0.3299,333,1306,0
부산광역시 동구,14765.5,86462,1548,0.313952925,0.02130957,0.098653623,32284,0.425464936,0.648886216,2591,0.030156661,3315,850,0.008188568,10,0.546,0.4111,519,730,0
부산광역시 부산진구,50618.3,355917,4202,0.567303063,0.008732427,0.101602062,34300,0.406432624,0.699087147,4143,0.011822753,13318,850,0.001545304,35,0.576,0.325,3954,446,0
부산광역시 북구,22925.4,278857,1717,0.73178966,0.017971627,0.074836312,34782,0.305509139,0.699910707,3803,0.013799985,4777,680,0.005081458,8,0.567,0.3111,232,109,0
