시군구,종량제,인구수,제조업종사자수,아파트,연립주택,다세대주택,소득수준,1인가구비율,15_64세인구율,외국인수,외국인비율,음식점업종사자수,20ℓ가격,일제대청소참여율,청결유지책임제이행실적,경제활동참가율,재정자주도,공무원단속건수,주민신고건수
경기도 연천군,0.038560004,0.030974044,0.00972101896,0.326441434,0.490154378,0.157148838,0.0190119535,0.524768897,0.43381489,0.014820914,0.218007476,0.0185944825,0.518518519,0.00576872077,0,0.371134021,0.789333333,0.00799615889,0.00317697627
경기도 오산시,0.145072704,0.206880498,0.0536364339,0.795262645,0.115935552,0.183526989,0.0416446091,0.489132056,0.905890397,0.200472362,0.488815881,0.113888388,0.419753086,0,0,0.484536082,0.647777778,0.0348839357,0.03905812
경기도 용인시,0.725857494,0.998534948,0.241813397,0.814818225,0.232340956,0.209423726,0.627348718,0.193904672,0.791746549,0.325269225,0.147112111,0.537324198,0.641975309,0,0.232835821,0.298969072,0.697777778,0.104485605,1
경기도 의왕시,0.108449694,0.141657588,0.037464563,0.900269668,0.0794012319,0.255611383,0.0632511813,0.136077958,0.838258522,0.0203787567,0.0417646906,0.0799900829,0.666666667,0.0185658259,0.0119402985,0.250859107,0.720666667,0.0217724511,0.056251168
경기도 의정부시,0.37751485,0.425959145,0.0214431849,0.780791876,0.112806077,0.286051277,0.0251096341,0.362129637,0.817248585,0.0926740482,0.0831670119,0.224125496,0.654320988,0.00823635588,0.00298507463,0.278350515,0.461777778,0.0413842773,0.0592412633
경기도 파주시,0.449494915,0.455551507,0.312768701,0.752302647,0.157012509,0.230581528,0.0428275461,0.268740731,0.778174849,0.202346645,0.217847099,0.251938334,0.814814815,0.00887223582,0.152238806,0.316151203,0.587555556,0.00219755868,0.120351336
경기도 평택시,0.537513971,0.533500884,0.372453317,0.718778827,0.160110204,0.23793982,0.0436640982,0.497127139,0.87837263,0.429795671,0.421564026,0.325527407,0.444444444,0.0292736408,1,0.47766323,0.678888889,0.22311684,0.0990469071
경기도 포천시,0.187488652,0.128992945,0.168840677,0.354550097,0.313784632,0.386906019,0.0105745414,0.597810021,0.695572294,0.201783277,0.755382939,0.100162279,0.518518519,0.11253349,0.00895522388,0.371134021,0.727111111,0.0380971727,0.00579330966
경기도 하남시,0.191825602,0.297003669,0.0427196076,0.79745085,0.0707817716,0.0391181719,0.0724728611,0.339002355,0.782691314,0.0494680505,0.0545079475,0.167057339,0.444444444,0,0.128358209,0.35395189,0.604,0.00729441746,0.0269108578
경기도 화성시,0.639285968,0.844763517,1,0.838705226,0.094645465,0.104050839,0.0760608853,0.362770135,0.853066889,0.673365691,0.417161552,0.492336819,0.567901235,0,0,0.556701031,0.780444444,0.00766375506,0.143337694
